date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:28:27	410558/410558	---MCZ	200	added ('OK')	application/javascript	etag:W/%22619bd780-643be%22	https://busdmatrix.io/lib/jQuery_3.6.0.js	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/busdmatrix.io/lib/jQuery_3.6.0.js	(from https://busdmatrix.io/)
06:28:28	1163746/1163746	---MCZ	200	added ('OK')	application/javascript	etag:%2211c1e2-CBKBj3aedzOyuXE1C535ub1XCzM%22	https://unpkg.com/web3@1.2.11/dist/web3.min.js	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/unpkg.com/web3@1.2.11/dist/web3.min.js	(from https://busdmatrix.io/)
06:28:28	52/52	---MCZ	302	error ('Found')	text/plain	date:Sat,%2011%20Dec%202021%2011:28:28%20GMT	https://unpkg.com/web3modal@latest/dist/index.js	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/unpkg.com/web3modal@latest/dist/index.16.delayed	(from https://busdmatrix.io/)
06:28:28	430149/430149	---MCZ	200	added ('OK')	application/javascript	etag:%2269045-vK1FnNJ6KCqn+9m0jyeGUeRASEM%22	https://unpkg.com/web3modal@1.9.4/dist/index.js	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/unpkg.com/web3modal@1.9.4/dist/index.js	(from https://busdmatrix.io/)
06:28:28	79/79	---MCZ	302	error ('Found')	text/plain	date:Sat,%2011%20Dec%202021%2011:28:29%20GMT	https://unpkg.com/@walletconnect/web3-provider@latest/dist/umd/index.min.js	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/unpkg.com/@walletconnect/web3-provider@latest/dist/umd/index.min.js	(from https://busdmatrix.io/)
06:28:29	704534/704534	---MCZ	200	added ('OK')	application/javascript	etag:%22ac016-H4MDkw6gmgfbOKiCh8fDMPscswc%22	https://unpkg.com/@walletconnect/web3-provider@1.6.6/dist/umd/index.min.js	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/unpkg.com/@walletconnect/web3-provider@1.6.6/dist/umd/index.min.js	(from https://busdmatrix.io/)
06:28:30	470596/470596	---M-Z	200	added ('OK')	application/javascript	etag:W/%22611feaca-72e44%22	https://code.jquery.com/ui/1.11.4/jquery-ui.js	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/code.jquery.com/ui/1.11.4/jquery-ui.js	(from https://busdmatrix.io/)
06:28:30	733070/733070	---MCZ	200	added ('OK')	application/javascript	etag:W/%22619bd780-b2f8e%22	https://busdmatrix.io/lib/ethers-5.2.umd.min.js	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/busdmatrix.io/lib/ethers-5.2.umd.min.js	(from https://busdmatrix.io/)
06:28:31	88248/88248	---MCZ	200	added ('OK')	application/javascript	etag:W/%22619bd780-158b8%22	https://busdmatrix.io/lib/rxjs.min.js	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/busdmatrix.io/lib/rxjs.min.js	(from https://busdmatrix.io/)
06:28:31	1291/1291	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-50b%22	https://cdnjs.cloudflare.com/ajax/libs/jqueryui-touch-punch/0.2.3/jquery.ui.touch-punch.min.js	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/cdnjs.cloudflare.com/ajax/libs/jqueryui-touch-punch/0.2.3/jquery.ui.touch-punch.min.js	(from https://busdmatrix.io/)
